Q.No,Question,OptionA,OptionB,OptionC,OptionD,Answer,Method,Level
1,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
2,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
3,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
4,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
5,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
6,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
7,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
8,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
9,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
10,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
11,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
12,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
13,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
14,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
15,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
16,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
17,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
18,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
19,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
20,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
21,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
22,What is the purpose of VT in NDT?,VT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,VT,Level 2
23,What is the purpose of ET in NDT?,ET detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,ET,Level 2
24,What is the purpose of UT in NDT?,UT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,UT,Level 2
25,What is the purpose of RT in NDT?,RT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,RT,Level 2
26,What is the purpose of PT in NDT?,PT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,PT,Level 2
27,What is the purpose of MT in NDT?,MT detects surface and subsurface flaws,Used for painting,Measures voltage,None of the above,A,MT,Level 2
